min;g/l
2.335874026;5.317802999
2.96708267;4.759280509
4.717983081;3.963187872
6.941284865;3.432213753
10.38478935;3.012630874
15.73599129;2.34133512
20.34341235;1.837725103
24.59904515;1.48775023
28.07471313;1.179834995
31.95845548;0.91370299
36.63824441;0.661345171
41.34215596;0.492738085
47.26627021;0.435522238
59.55071614;0.460582963
70.26317112;0.527887595
80.58765391;0.623201273
89.71203618;0.67691599
100.0164168;0.70243739
114.2849485;0.740995896
128.9414524;0.751545356
149.1139961;0.663095737
178.39082;0.558568557
207.6998074;0.565709021
238.2088952;0.614448446
