time;;conc
0.87;5.25;29.14141078
1.75;4.11;22.81356158
3.05;3.92;21.75892005
5.24;3.61;20.03818912
6.98;3.33;18.48398055
10.04;2.96;16.43020493
12.22;2.71;15.04251871
16.15;2.24;12.4336686
19.2;1.96;10.87946002
21.82;1.7;9.436266347
25.75;1.37;7.604520527
29.67;1.07;5.939297054
34.91;0.76;4.218566132
39.27;0.61;3.385954395
49.75;0.51;2.830879904
60.22;0.56;3.10841715
69.82;0.69;3.830013988
80.73;0.72;3.996536335
89.89;0.78;4.32958103
100.36;0.81;4.496103377
115.2;0.87;4.829148072
130.04;0.86;4.773640623
150.11;0.81;4.496103377
179.78;0.72;3.996536335
209.45;0.73;4.052043784
240;0.76;4.218566132
