time;mu/l;conc
0.38;7.36;158.7959127
4.16;37.98;819.438691
7.95;41.08;886.322839
11.36;43.79;944.7925297
15.14;44.96;970.0359017
20.06;45.73;986.649061
26.12;49.61;1070.362124
37.1;48.06;1036.92005
46.18;45.34;978.2346037
52.24;42.63;919.764913
59.43;42.24;911.3504557
70.79;39.92;861.2952223
80.25;127.12;2742.68158
83.66;103.87;2241.050469
86.69;60.07;1296.042184
89.72;52.32;1128.831814
94.64;46.51;1003.477976
100.69;48.83;1053.533209
107.89;50;1078.776581
115.46;49.61;1070.362124
123.03;48.06;1036.92005
129.84;43.41;936.5938277
137.03;35.66;769.3834576
147.63;31.39;677.2559376
158.99;28.29;610.3717896
174.51;25.19;543.4876415
196.09;12.4;267.5365921
218.04;5.04;108.7406794
240;6.2;133.7682961
