time;mu/l;pM;conc
0.1;3.2;22.2222;2.22222E-08
1.7;22.9;159.0278;1.59028E-07
4.5;21.3;147.9167;1.47917E-07
6.2;22.9;159.0278;1.59028E-07
8.1;22.9;159.0278;1.59028E-07
10.2;21.3;147.9167;1.47917E-07
12.1;20.1;139.5833;1.39583E-07
14.1;19.7;136.8056;1.36806E-07
16.1;17.7;122.9167;1.22917E-07
19;17.3;120.1389;1.20139E-07
24;105.3;731.25;7.3125E-07
24.8;95.9;665.9722;6.65972E-07
25.1;57.5;399.3056;3.99306E-07
28.2;43.2;300;0.0000003
31.7;25.1;174.3056;1.74306E-07
41.1;10.4;72.2222;7.22222E-08
46.6;6.2;43.0556;4.30556E-08
51.1;4.1;28.4722;2.84722E-08
60.6;2.7;18.75;1.875E-08
80.1;1.6;11.1111;1.11111E-08
100.6;1.3;9.0278;9.0278E-09
150.1;0.5;3.4722;3.4722E-09
